Time_s,Voltage_V,Current_A,Power_W,SOC_Percent,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
1114.294,3.678,3.298,12.085,12.63,30.10,2289.26,21.44
1121.252,3.678,3.298,12.085,12.76,30.10,2289.25,21.48
1128.204,3.680,3.298,12.085,12.89,30.10,2289.26,21.50
1135.156,3.683,3.298,12.085,13.02,30.10,2289.26,21.51
1142.099,3.685,3.298,12.085,13.15,30.10,2289.25,21.48
1149.058,3.685,3.298,12.085,13.29,30.10,2289.26,21.47
1158.018,3.687,3.298,12.085,13.45,30.05,2289.25,21.47
1165.967,3.690,3.298,12.085,13.60,30.05,2289.26,21.48
1172.898,3.692,3.298,12.131,13.73,30.05,2289.25,21.46
1179.859,3.692,3.298,12.131,13.86,30.00,2289.25,21.46
1186.829,3.694,3.298,12.131,13.99,30.00,2289.25,21.47
1193.780,3.696,3.298,12.131,14.12,30.00,2289.24,21.49
1200.711,3.696,3.298,12.131,14.25,30.00,2289.25,21.48
1207.685,3.699,3.298,12.131,14.38,30.00,2289.24,21.49
1214.647,3.701,3.298,12.131,14.51,29.95,2289.23,21.51
1221.580,3.701,3.298,12.131,14.64,29.85,2289.23,21.50
1228.535,3.703,3.298,12.131,14.77,29.80,2289.24,21.49
1235.534,3.706,3.298,12.177,14.91,29.85,2289.24,21.50
1242.433,3.706,3.298,12.177,15.03,29.90,2289.25,21.49
1249.414,3.708,3.298,12.177,15.17,29.95,2289.25,21.45
1256.335,3.710,3.298,12.177,15.30,29.95,2289.25,21.45
1265.297,3.710,3.298,12.177,15.46,30.00,2289.25,21.45
1273.253,3.712,3.298,12.177,15.61,30.05,2289.23,21.44
1280.186,3.715,3.298,12.177,15.74,30.05,2289.23,21.43
1287.153,3.715,3.298,12.177,15.87,30.05,2289.25,21.45
1294.083,3.717,3.298,12.222,16.00,30.05,2289.24,21.48
1303.067,3.719,3.298,12.222,16.17,30.00,2289.23,21.49
1310.992,3.722,3.298,12.222,16.32,29.95,2289.24,21.49
1317.962,3.722,3.298,12.222,16.45,29.95,2289.24,21.46
1324.888,3.724,3.298,12.222,16.58,29.95,2289.24,21.47
1331.839,3.726,3.298,12.222,16.71,29.95,2289.23,21.49
1338.812,3.726,3.298,12.222,16.84,30.00,2289.22,21.49
1345.756,3.729,3.298,12.222,16.97,30.05,2289.23,21.49
1352.706,3.729,3.298,12.222,17.10,30.05,2289.21,21.46
1359.679,3.731,3.298,12.222,17.23,30.05,2289.22,21.47
1366.620,3.733,3.298,12.268,17.36,30.05,2289.22,21.47
1373.583,3.733,3.298,12.268,17.49,30.05,2289.23,21.48
1380.563,3.735,3.298,12.268,17.62,30.05,2289.22,21.48
1387.467,3.738,3.298,12.268,17.75,30.05,2289.22,21.49
1396.426,3.738,3.298,12.268,17.92,30.05,2289.24,21.50
1404.368,3.740,3.298,12.268,18.07,30.05,2289.22,21.49
1411.317,3.742,3.298,12.268,18.20,30.00,2289.21,21.47
1420.292,3.745,3.298,12.268,18.37,30.00,2289.22,21.47
1428.236,3.745,3.298,12.314,18.52,30.00,2289.20,21.47
1435.193,3.747,3.298,12.314,18.65,30.00,2289.19,21.47
1442.149,3.747,3.298,12.314,18.78,30.00,2289.20,21.47
1449.084,3.749,3.298,12.314,18.91,30.00,2289.20,21.49
1456.063,3.751,3.298,12.314,19.04,29.95,2289.18,21.49
1462.988,3.751,3.298,12.314,19.17,29.95,2289.19,21.46
1469.966,3.754,3.298,12.314,19.30,29.95,2289.19,21.46
1476.921,3.754,3.298,12.314,19.43,29.90,2289.20,21.45
1483.852,3.756,3.298,12.314,19.56,29.90,2289.18,21.47
1490.801,3.756,3.298,12.314,19.69,29.90,2289.19,21.46
1497.764,3.758,3.298,12.314,19.82,29.90,2289.19,21.48
1504.717,3.758,3.298,12.314,19.95,29.90,2289.18,21.46
1511.685,3.761,3.298,12.360,20.08,29.90,2289.19,21.46
1951.824,3.724,3.298,12.222,20.08,29.95,2289.09,21.38
1959.275,3.735,3.298,12.268,20.22,29.95,2289.06,21.38
1966.217,3.742,3.298,12.268,20.35,29.95,2289.07,21.37
1973.160,3.747,3.298,12.314,20.48,29.95,2289.07,21.40
1980.110,3.751,3.298,12.314,20.61,29.95,2289.07,21.42
1987.065,3.756,3.298,12.314,20.74,29.95,2289.07,21.39
1994.001,3.758,3.298,12.314,20.87,29.95,2289.05,21.38
2000.951,3.761,3.298,12.360,21.00,29.95,2289.04,21.41
2009.901,3.765,3.298,12.360,21.17,29.95,2289.06,21.42
2017.878,3.767,3.298,12.360,21.32,29.95,2289.05,21.43
2024.805,3.770,3.298,12.360,21.45,29.95,2289.06,21.42
2031.791,3.770,3.298,12.360,21.58,30.05,2289.05,21.42
2038.732,3.772,3.298,12.360,21.71,30.05,2289.04,21.43
2045.701,3.772,3.298,12.405,21.84,30.10,2289.05,21.45
2052.636,3.774,3.298,12.405,21.97,30.10,2289.04,21.45
2059.587,3.777,3.298,12.405,22.10,30.10,2289.04,21.41
2066.517,3.777,3.298,12.405,22.23,30.10,2289.04,21.41
2073.492,3.779,3.298,12.405,22.36,30.10,2289.01,21.39
2080.442,3.779,3.298,12.405,22.49,30.10,2289.03,21.37
2087.386,3.781,3.298,12.405,22.62,30.10,2289.04,21.35
2094.365,3.781,3.298,12.405,22.75,30.10,2289.04,21.35
2101.312,3.783,3.298,12.405,22.88,30.10,2289.03,21.36
2108.261,3.783,3.298,12.405,23.01,30.10,2289.03,21.37
2115.221,3.786,3.298,12.405,23.14,30.10,2289.02,21.35
2122.166,3.786,3.298,12.405,23.27,30.10,2289.02,21.35
2129.109,3.788,3.298,12.451,23.40,30.10,2289.01,21.33
2136.050,3.788,3.298,12.451,23.53,30.00,2289.01,21.32
2143.004,3.788,3.298,12.451,23.66,30.00,2289.02,21.34
2149.981,3.790,3.298,12.451,23.79,29.95,2289.02,21.34
2156.950,3.790,3.298,12.451,23.92,29.90,2289.00,21.33
2163.865,3.793,3.298,12.451,24.05,29.80,2289.00,21.35
2170.882,3.793,3.298,12.451,24.18,29.80,2289.01,21.36
2177.795,3.795,3.298,12.451,24.32,29.80,2289.00,21.38
2184.790,3.795,3.298,12.451,24.45,29.85,2289.00,21.38
2191.726,3.795,3.298,12.451,24.58,29.90,2289.00,21.41
2198.683,3.797,3.298,12.451,24.71,29.95,2289.00,21.41
2205.627,3.797,3.298,12.451,24.84,29.95,2289.00,21.41
2212.547,3.799,3.298,12.451,24.97,30.00,2289.00,21.41
2219.527,3.799,3.298,12.451,25.10,30.05,2289.01,21.40
2226.468,3.799,3.298,12.451,25.23,30.05,2289.00,21.38
2233.421,3.802,3.298,12.497,25.36,30.10,2288.99,21.40
2242.391,3.802,3.298,12.497,25.53,30.10,2288.99,21.44
2250.350,3.804,3.298,12.497,25.67,30.10,2288.99,21.43
2257.294,3.804,3.298,12.497,25.80,30.05,2288.99,21.44
2264.257,3.806,3.298,12.497,25.94,30.05,2288.98,21.42
2271.189,3.806,3.298,12.497,26.07,30.05,2288.98,21.42
2278.147,3.806,3.298,12.497,26.20,30.00,2288.99,21.42
2285.096,3.809,3.298,12.497,26.33,30.00,2288.97,21.42
2294.075,3.809,3.298,12.497,26.49,29.95,2288.96,21.43
2301.979,3.811,3.298,12.497,26.64,29.95,2288.98,21.44
2308.939,3.811,3.298,12.497,26.77,30.05,2288.96,21.41
2315.909,3.813,3.298,12.497,26.90,30.10,2288.98,21.37
2322.843,3.813,3.298,12.497,27.03,30.15,2288.97,21.36
2331.869,3.815,3.298,12.543,27.20,30.15,2288.97,21.40
2339.770,3.815,3.298,12.543,27.35,30.15,2288.95,21.38
2346.725,3.815,3.298,12.543,27.48,30.15,2288.97,21.38
2353.709,3.818,3.298,12.543,27.61,30.15,2288.96,21.37
2360.656,3.818,3.298,12.543,27.74,30.15,2288.95,21.39
2367.598,3.820,3.298,12.543,27.87,30.10,2288.93,21.43
2374.564,3.820,3.298,12.543,28.00,30.10,2288.95,21.42
2381.518,3.822,3.298,12.543,28.13,30.10,2288.95,21.38
2388.449,3.822,3.298,12.543,28.26,30.10,2288.94,21.37
2395.398,3.822,3.298,12.543,28.39,30.10,2288.94,21.37
2402.343,3.825,3.298,12.543,28.52,30.10,2288.94,21.37
2411.326,3.825,3.298,12.543,28.69,30.05,2288.94,21.39
2419.264,3.827,3.298,12.543,28.84,30.05,2288.94,21.38
2426.246,3.827,3.298,12.543,28.97,30.05,2288.93,21.39
2433.180,3.829,3.298,12.589,29.10,30.05,2288.93,21.38
2440.120,3.829,3.298,12.589,29.23,30.05,2288.92,21.38
2447.083,3.829,3.298,12.589,29.36,30.05,2288.92,21.36
2454.020,3.832,3.298,12.589,29.49,30.05,2288.93,21.35
2460.980,3.832,3.298,12.589,29.62,30.05,2288.93,21.33
2469.922,3.834,3.298,12.589,29.79,30.05,2288.92,21.33
2476.898,3.834,3.298,12.589,29.92,30.05,2288.94,21.32
2483.839,3.836,3.298,12.589,30.05,29.95,2288.93,21.32
2924.846,3.795,3.298,12.451,30.05,29.95,2289.15,21.30
2932.397,3.806,3.298,12.497,30.19,30.00,2289.15,21.32
2939.376,3.813,3.298,12.497,30.32,30.00,2289.16,21.32
2946.312,3.818,3.298,12.543,30.45,30.00,2289.16,21.33
2953.291,3.820,3.298,12.543,30.58,30.00,2289.16,21.33
2960.260,3.825,3.298,12.543,30.71,29.95,2289.16,21.31
2967.218,3.827,3.298,12.543,30.85,29.95,2289.16,21.31
2974.156,3.829,3.298,12.589,30.98,29.95,2289.18,21.30
2981.104,3.832,3.298,12.589,31.11,29.95,2289.18,21.30
2988.044,3.834,3.298,12.589,31.24,30.00,2289.18,21.32
2997.003,3.836,3.298,12.589,31.40,30.10,2289.18,21.34
3004.955,3.838,3.298,12.589,31.55,30.15,2289.19,21.35
3011.921,3.838,3.298,12.589,31.68,30.10,2289.19,21.33
3020.874,3.841,3.298,12.589,31.85,30.00,2289.20,21.32
3028.798,3.843,3.298,12.589,32.00,29.95,2289.20,21.32
3035.740,3.843,3.298,12.634,32.13,29.95,2289.19,21.31
3042.688,3.845,3.298,12.634,32.26,30.05,2289.20,21.33
3049.659,3.845,3.298,12.634,32.39,30.05,2289.19,21.35
3056.601,3.848,3.298,12.634,32.52,30.00,2289.20,21.36
3063.574,3.848,3.298,12.634,32.65,29.95,2289.19,21.36
3070.526,3.850,3.298,12.634,32.78,29.95,2289.21,21.35
3077.469,3.850,3.298,12.634,32.91,29.95,2289.21,21.35
3084.436,3.852,3.298,12.634,33.04,29.95,2289.22,21.36
3091.372,3.852,3.298,12.634,33.17,29.95,2289.23,21.36
3098.337,3.854,3.298,12.634,33.30,30.00,2289.21,21.36
3105.269,3.854,3.298,12.634,33.43,30.00,2289.21,21.35
3112.214,3.857,3.298,12.634,33.56,30.00,2289.20,21.37
3119.179,3.857,3.298,12.680,33.69,30.00,2289.22,21.36
3126.135,3.857,3.298,12.680,33.82,30.00,2289.22,21.35
3133.110,3.859,3.298,12.680,33.95,30.00,2289.22,21.35
3140.045,3.859,3.298,12.680,34.08,30.00,2289.23,21.35
3146.969,3.861,3.298,12.680,34.21,30.00,2289.22,21.35
3153.940,3.861,3.298,12.680,34.34,30.00,2289.22,21.37
3160.889,3.864,3.298,12.680,34.48,30.00,2289.21,21.36
3167.855,3.864,3.298,12.680,34.61,30.00,2289.23,21.36
3174.784,3.866,3.298,12.680,34.74,29.95,2289.21,21.37
3181.757,3.866,3.298,12.680,34.87,29.90,2289.22,21.36
3188.710,3.866,3.298,12.680,35.00,29.90,2289.23,21.34
3195.672,3.868,3.298,12.680,35.13,29.90,2289.24,21.31
3202.602,3.868,3.298,12.680,35.26,29.90,2289.23,21.32
3209.565,3.870,3.298,12.680,35.39,29.90,2289.23,21.33
3216.519,3.870,3.298,12.726,35.52,29.90,2289.22,21.31
3223.473,3.873,3.298,12.726,35.65,29.95,2289.24,21.32
3230.417,3.873,3.298,12.726,35.78,29.95,2289.22,21.32
3237.357,3.873,3.298,12.726,35.91,30.05,2289.24,21.33
3244.344,3.875,3.298,12.726,36.04,30.05,2289.24,21.35
3251.288,3.875,3.298,12.726,36.17,30.05,2289.23,21.36
3258.261,3.877,3.298,12.726,36.30,30.05,2289.23,21.34
3265.189,3.877,3.298,12.726,36.43,30.05,2289.23,21.34
3272.134,3.877,3.298,12.726,36.56,30.05,2289.24,21.34
3279.120,3.880,3.298,12.726,36.69,30.05,2289.24,21.35
3286.056,3.880,3.298,12.726,36.82,30.05,2289.23,21.35
3295.000,3.882,3.298,12.726,36.99,30.00,2289.24,21.35
3302.979,3.882,3.298,12.726,37.14,30.00,2289.23,21.33
