Time_s,Voltage_V,Current_A,Power_W,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
14.376,3.042,5.001,15.213,29.90,2294.43,22.97
22.264,3.033,4.999,15.160,29.90,2294.43,22.98
31.202,3.021,4.999,15.103,29.90,2294.44,22.99
38.120,3.017,4.999,15.080,29.90,2294.43,22.98
45.072,3.010,4.999,15.046,29.90,2294.44,22.97
52.057,3.005,4.999,15.023,29.95,2294.43,22.99
58.982,2.998,5.001,14.995,29.95,2294.43,22.98
65.935,2.994,4.999,14.965,30.00,2294.44,22.95
72.884,2.987,4.999,14.931,30.05,2294.43,22.97
79.854,2.982,5.001,14.915,30.05,2294.43,23.00
86.785,2.975,5.001,14.881,30.10,2294.44,23.00
93.742,2.971,4.999,14.851,30.10,2294.44,23.01
100.671,2.964,5.001,14.823,30.10,2294.45,23.01
107.635,2.957,4.999,14.782,30.10,2294.44,23.01
114.632,2.950,4.999,14.748,30.10,2294.44,22.99
121.587,2.943,4.999,14.714,30.10,2294.44,23.00
128.483,2.937,4.999,14.679,30.10,2294.44,23.01
135.435,2.930,4.999,14.645,30.10,2294.43,22.99
142.380,2.921,5.001,14.606,30.10,2294.45,23.01
149.390,2.914,5.001,14.572,30.10,2294.44,23.02
156.306,2.905,4.999,14.519,30.10,2294.44,23.02
163.265,2.895,5.001,14.480,30.10,2294.44,23.03
170.211,2.886,5.001,14.434,30.10,2294.45,23.02
177.213,2.877,4.999,14.382,30.10,2294.43,23.03
184.124,2.866,4.999,14.325,30.10,2294.45,23.02
191.091,2.854,4.999,14.267,30.05,2294.45,23.02
198.021,2.843,4.999,14.210,30.05,2294.45,23.03
204.984,2.831,4.999,14.153,30.05,2294.45,23.03
211.918,2.818,4.999,14.084,30.00,2294.45,23.04
218.889,2.802,4.999,14.004,30.00,2294.45,23.06
225.825,2.786,4.999,13.924,30.05,2294.45,23.04
232.846,2.767,4.999,13.833,30.05,2294.45,23.05
239.711,2.749,5.001,13.747,30.05,2294.45,23.04
246.711,2.728,4.999,13.638,30.10,2294.44,23.02
253.660,2.705,4.999,13.524,30.10,2294.45,23.02
260.610,2.696,4.850,13.077,30.10,2294.45,23.01
267.514,2.696,4.651,12.540,30.10,2294.45,23.01
275.465,2.696,4.438,11.966,30.10,2294.45,23.01
282.463,2.696,4.260,11.485,30.10,2294.46,23.03
289.410,2.699,4.090,11.037,30.10,2294.44,23.07
296.380,2.696,3.923,10.578,30.10,2294.46,23.05
303.338,2.696,3.765,10.152,30.10,2294.45,23.05
310.248,2.699,3.612,9.747,30.10,2294.45,23.03
317.241,2.696,3.461,9.331,30.10,2294.46,23.00
324.158,2.696,3.314,8.936,30.10,2294.46,22.97
331.102,2.696,3.175,8.560,30.10,2294.46,22.97
338.039,2.696,3.037,8.189,30.10,2294.45,22.98
345.003,2.696,2.909,7.844,30.10,2294.45,22.97
351.944,2.696,2.781,7.498,30.10,2294.44,23.00
358.897,2.699,2.657,7.171,30.10,2294.44,23.00
365.911,2.696,2.538,6.844,30.10,2294.45,23.00
372.856,2.699,2.417,6.522,30.10,2294.46,23.03
379.747,2.699,2.303,6.214,30.10,2294.47,23.02
386.724,2.699,2.197,5.929,30.10,2294.46,23.02
393.716,2.699,2.092,5.645,30.10,2294.46,22.98
400.619,2.696,1.989,5.363,30.10,2294.45,22.99
407.599,2.696,1.891,5.097,30.10,2294.45,23.00
414.557,2.699,1.799,4.855,30.10,2294.47,23.02
421.502,2.699,1.705,4.601,30.10,2294.46,23.02
428.452,2.696,1.616,4.357,30.10,2294.46,23.03
435.370,2.699,1.529,4.126,30.05,2294.45,23.00
442.326,2.696,1.447,3.900,30.05,2294.45,23.00
449.307,2.696,1.364,3.678,30.00,2294.45,22.98
456.239,2.696,1.284,3.462,30.00,2294.47,22.98
463.178,2.696,1.204,3.246,30.00,2294.46,22.98
470.119,2.699,1.124,3.033,30.00,2294.46,22.96
477.088,2.699,1.048,2.829,30.00,2294.46,22.97
484.062,2.696,0.977,2.635,30.00,2294.46,22.96
491.001,2.699,0.904,2.440,30.05,2294.46,22.95
497.938,2.699,0.838,2.261,30.05,2294.46,22.95
504.894,2.696,0.774,2.086,30.10,2294.45,22.98
511.832,2.696,0.712,1.919,30.10,2294.46,22.99
518.849,2.699,0.655,1.766,30.10,2294.47,23.00
525.741,2.699,0.600,1.618,30.10,2294.46,22.98
533.721,2.696,0.542,1.463,30.10,2294.47,22.97
540.646,2.696,0.494,1.333,30.10,2294.45,22.99
548.608,2.699,0.439,1.186,30.05,2294.46,22.99
555.546,2.696,0.401,1.080,30.05,2294.46,23.01
562.510,2.696,0.366,0.987,30.05,2294.47,23.00
569.448,2.696,0.332,0.895,30.00,2294.46,22.98
576.423,2.696,0.304,0.821,29.95,2294.46,22.99
583.358,2.696,0.277,0.747,29.95,2294.46,22.98
590.316,2.696,0.254,0.685,29.95,2294.46,22.98
